scrape_date,price,price_per_m2,surface_m2,rooms,floor,max_floor,neighborhood,city,year_built,url
3/18/2026,59900,1513,39.6,1,1,5,Central,Popești-Leordeni,2026,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-popesti-leordeni-central-396mp-275140275
3/18/2026,66000,1500,44,2,1,10,Militari,Sector 6,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-275121042
3/18/2026,96900,2168,44.7,2,4,5,Pipera,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-1-242719797
3/18/2026,112000,2571,43.57,2,2,11,Pipera,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-274413602
3/18/2026,199900,2189,91.3,3,1,5,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-3-camere-2-201582656
3/18/2026,127500,1401,91,3,2,4,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-3-camere-273135961
3/18/2026,116000,1468,79,2,1,4,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-273135915
3/18/2026,86289,1726,50,2,4,4,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-271722402
3/18/2026,98771,1975,50,2,2,6,Pipera,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-266713093
3/18/2026,132000,2463,53.59,2,4,11,Pipera,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-274414910
3/18/2026,219318,4300,51,2,1,10,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-270189591
3/18/2026,212500,1700,125,3,11,13,Parcul Carol,Sector 4,2021,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-4-parcul-carol-3-camere-1087036
3/18/2026,66000,3587,18.4,1,2,7,Central,Ultracentral,2026,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-ultracentral-central-184mp-274747493
3/18/2026,124730,2212,56.4,2,3,10,Tractorul,Brașov,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-tractorul-2-camere-235034154
3/18/2026,138380,1850,74.8,2,7,8,Noua,Brașov,2027,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-noua-2-camere-274369663
3/18/2026,179900,1571,114.5,3,5,8,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-3-camere-274273129
3/18/2026,129800,2476,52.42,2,1,,Bartolomeu,Brașov,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-bartolomeu-2-camere-1054653
3/18/2026,149000,2006,74.26,3,1,10,Theodor Pallady,Sector 3,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-theodor-pallady-3-camere-273029660
3/18/2026,181800,2490,73,3,0,10,Nord,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-nord-3-camere-1-1533475
