iter	MAE	RMSE
0	80516.65845	148596.1716
1	77644.8659	143869.0732
2	75023.52891	139459.1157
3	72605.12437	135375.2624
4	70211.22046	131467.2406
5	68023.45994	127839.7891
6	65880.75613	124338.1898
7	63945.41146	121152.7653
8	62115.34306	118051.9004
9	60421.43941	115234.4105
10	58888.79453	112597.8107
11	57527.91586	109983.0775
12	56251.38432	107667.3505
13	55009.82203	105504.7365
14	53808.90974	103417.6854
15	52679.82716	101397.521
16	51599.88714	99565.01152
17	50665.52504	97897.42594
18	49836.6889	96308.53839
19	48981.7963	94834.8765
20	48255.46158	93498.82677
21	47492.10075	92109.2592
22	46889.53765	90798.50204
23	46268.35822	89646.27301
24	45790.49068	88540.36316
25	45260.49067	87382.49787
26	44749.36653	86415.34114
27	44301.50591	85329.99031
28	43906.54298	84487.82009
29	43476.31618	83684.2463
30	43129.5105	82912.40403
31	42824.76589	82188.86315
32	42261.30917	81104.06523
33	41701.64313	80095.97483
34	41163.56241	79112.99742
35	40595.23579	78195.19099
36	40170.28135	77354.08461
37	39754.8894	76576.55308
38	39363.02532	75847.33619
39	38969.05706	75091.34923
40	38603.53119	74389.50365
41	38310.34018	73851.02297
42	37990.14837	73295.15057
43	37657.06477	72749.75594
44	37411.13759	72308.55369
45	37233.95996	71745.9468
46	37038.93934	71283.61774
47	36753.94607	70722.78093
48	36460.47662	70271.35904
49	36260.0025	69657.04128
50	36053.54077	69282.31579
51	35856.60071	68829.56077
52	35688.88705	68524.23877
53	35563.26792	68151.41477
54	35431.98517	67853.51042
55	35303.17175	67555.19448
56	35131.66314	67244.6871
57	34984.74906	66905.22983
58	34872.43255	66609.39359
59	34726.34877	66334.7836
60	34555.56012	66091.37563
61	34446.95444	65875.99457
62	34315.4426	65637.40435
63	34184.36518	65456.88555
64	34048.19059	65235.91361
65	33974.87658	65022.19274
66	33828.5441	64849.32764
67	33719.90143	64642.08448
68	33627.29415	64430.80429
69	33530.24748	64202.36784
70	33421.43237	64088.98518
71	33337.40451	63930.42491
72	33240.83816	63781.67178
73	33159.10892	63649.21965
74	33081.06372	63486.78691
75	33012.11754	63365.32339
76	32950.90849	63245.07445
77	32852.03902	63027.27337
78	32773.81474	62829.44851
79	32688.50319	62694.11049
80	32629.43907	62517.37247
81	32540.97295	62354.48503
82	32449.17145	62114.13127
83	32367.59696	61945.8232
84	32296.85698	61749.89465
85	32223.21501	61538.90555
86	32163.38056	61436.13149
87	32102.02334	61269.98805
88	32045.63073	61170.67686
89	31984.92098	61063.82789
90	31929.38173	60893.4415
91	31848.24188	60734.34882
92	31791.17767	60574.05953
93	31715.26735	60372.32909
94	31654.97829	60121.50108
95	31594.2476	60024.04173
96	31512.12028	59863.27961
97	31451.48171	59628.19809
98	31390.35147	59352.97597
99	31352.20066	59191.55383
100	31293.85339	58952.09568
101	31231.94606	58719.69533
102	31197.53445	58641.76898
103	31146.20577	58535.67663
104	31100.87719	58471.96105
105	31054.05832	58320.30212
106	30995.03985	58165.02861
107	30934.76911	57988.31711
108	30853.68053	57780.60462
109	30809.78924	57659.19094
110	30768.6473	57512.11262
111	30724.84617	57352.20937
112	30676.4956	57278.412
113	30614.18105	57160.03724
114	30565.43791	56957.60197
115	30528.48204	56801.50782
116	30475.42782	56620.81048
117	30442.15256	56502.11991
118	30395.20156	56357.41687
119	30332.95025	56224.94178
120	30270.99731	56098.33865
121	30232.54054	55950.10513
122	30208.40815	55909.46436
123	30168.1886	55724.93811
124	30141.2752	55624.14654
125	30100.75075	55484.74201
126	30067.66123	55309.79172
127	30036.28249	55247.27827
128	29991.49905	55133.37573
129	29938.12815	55032.38821
130	29902.66617	54969.88371
131	29880.57344	54943.88604
132	29850.995	54857.0076
133	29791.59288	54601.9692
134	29753.70273	54496.19707
135	29720.77155	54414.57568
136	29685.6268	54295.21915
137	29637.02216	54161.20618
138	29601.26924	54027.18059
139	29570.8022	53941.21579
140	29539.30042	53880.83134
141	29514.50913	53797.40314
142	29485.95049	53729.0386
143	29458.78623	53676.00452
144	29431.13522	53571.96775
145	29383.08059	53384.03821
146	29344.75865	53313.71998
147	29300.96678	53199.81649
148	29229.91926	53065.10717
149	29178.18112	52965.71313
150	29138.92281	52873.01511
151	29089.22791	52760.70416
152	29025.34071	52647.18114
153	28985.03748	52520.54063
154	28948.49815	52442.26
155	28908.81039	52310.32532
156	28855.98027	52237.60815
157	28832.85279	52153.9196
158	28797.69439	52066.96674
159	28758.10412	51926.96224
160	28740.30872	51879.51588
161	28712.77498	51842.6931
162	28691.14012	51783.46654
163	28648.45593	51643.81168
164	28615.31288	51588.45022
165	28585.50963	51516.25995
166	28528.60985	51382.0243
167	28506.40154	51334.01439
