iter	Passed	Remaining
0	235	234888
1	328	163856
2	399	132921
3	463	115386
4	531	105849
5	609	100909
6	678	96256
7	745	92428
8	814	89710
9	883	87438
10	948	85316
11	1018	83873
12	1100	83551
13	1169	82372
14	1237	81246
15	1316	80975
16	1393	80598
17	1467	80060
18	1538	79439
19	1607	78778
20	1674	78073
21	1749	77777
22	1820	77330
23	1886	76713
24	1953	76174
25	2025	75884
26	2091	75382
27	2171	75368
28	2239	74985
29	2301	74401
30	2364	73923
31	2433	73601
32	2490	72975
33	2544	72301
34	2603	71778
35	2658	71186
36	2714	70645
37	2773	70224
38	2847	70169
39	2909	69830
40	2970	69487
41	3068	69980
42	3132	69711
43	3185	69208
44	3252	69016
45	3325	68969
46	3382	68588
47	3470	68836
48	3531	68532
49	3615	68702
50	3681	68499
51	3739	68169
52	3805	67990
53	3869	67793
54	3935	67612
55	3995	67355
56	4069	67325
57	4134	67141
58	4196	66935
59	4255	66664
60	4314	66413
61	4386	66356
62	4451	66206
63	4516	66049
64	4573	65788
65	4636	65619
66	4698	65423
67	4769	65367
68	4839	65295
69	4899	65090
70	4959	64898
71	5023	64745
72	5086	64591
73	5154	64501
74	5222	64415
75	5291	64335
76	5360	64252
77	5418	64047
78	5468	63755
79	5521	63500
80	5588	63409
81	5650	63262
82	5703	63014
83	5768	62904
84	5825	62705
85	5885	62554
86	5958	62533
87	6020	62395
88	6094	62382
89	6165	62337
90	6248	62413
91	6306	62240
92	6371	62142
93	6443	62107
94	6511	62030
95	6576	61929
96	6639	61804
97	6715	61811
98	6792	61815
99	6872	61848
100	6936	61742
101	7018	61794
102	7095	61793
103	7160	61690
104	7232	61651
105	7304	61604
106	7364	61461
107	7417	61259
108	7486	61200
109	7551	61102
110	7624	61063
111	7691	60982
112	7762	60935
113	7829	60854
114	7909	60871
115	7989	60882
116	8063	60853
117	8133	60794
118	8202	60726
119	8265	60615
120	8324	60471
121	8421	60607
122	8483	60484
123	8555	60440
124	8621	60347
125	8679	60204
126	8754	60179
127	8814	60047
128	8867	59875
129	8921	59704
130	8985	59604
131	9050	59511
132	9118	59443
133	9188	59384
134	9249	59267
135	9314	59176
136	9374	59051
137	9443	58984
138	9509	58904
139	9571	58793
140	9634	58694
141	9705	58640
142	9764	58519
143	9833	58456
144	9894	58345
145	9960	58259
146	10016	58123
147	10081	58034
148	10141	57923
149	10195	57771
150	10249	57629
151	10318	57566
152	10384	57487
153	10446	57389
154	10498	57234
155	10565	57164
156	10626	57058
157	10696	57003
158	10752	56871
159	10807	56741
160	10867	56630
161	10929	56537
162	10993	56453
163	11054	56348
164	11107	56210
165	11167	56106
166	11225	55993
167	11286	55895
168	11340	55765
169	11411	55715
170	11482	55667
171	11540	55553
172	11596	55433
173	11657	55340
174	11729	55296
175	11790	55202
176	11847	55089
177	11916	55032
178	11981	54955
179	12053	54911
180	12111	54803
181	12175	54721
182	12242	54657
183	12309	54590
184	12387	54573
185	12446	54470
186	12501	54350
187	12561	54256
188	12621	54157
189	12691	54104
190	12760	54047
191	12822	53961
192	12878	53848
193	12938	53752
194	13002	53675
195	13068	53607
196	13128	53513
197	13185	53409
198	13256	53359
199	13322	53288
200	13395	53247
201	13475	53233
202	13527	53112
203	13589	53025
204	13647	52926
205	13705	52824
206	13762	52722
207	13819	52619
208	13877	52521
209	13940	52441
210	14015	52410
211	14083	52349
212	14143	52258
213	14214	52206
214	14279	52138
215	14340	52049
216	14397	51951
217	14451	51840
218	14513	51759
219	14587	51718
220	14656	51661
221	14715	51570
222	14771	51467
223	14832	51385
224	14894	51303
225	14961	51238
226	15018	51141
227	15082	51068
228	15151	51011
229	15216	50942
230	15290	50901
231	15357	50838
232	15428	50786
233	15489	50704
234	15561	50656
235	15628	50592
236	15683	50493
237	15746	50414
238	15802	50317
239	15873	50266
240	15935	50188
241	16000	50117
242	16065	50048
243	16137	49998
244	16194	49905
245	16259	49835
246	16318	49749
247	16373	49648
248	16438	49579
249	16499	49497
250	16567	49439
251	16627	49355
252	16692	49285
253	16762	49232
254	16824	49153
255	16896	49104
256	16952	49011
257	17023	48959
258	17092	48902
259	17155	48827
260	17221	48761
261	17291	48706
262	17349	48618
263	17419	48563
264	17484	48494
265	17554	48438
266	17617	48364
267	17686	48309
268	17745	48222
269	17810	48155
270	17878	48094
271	17951	48047
272	18039	48040
273	18117	48004
274	18181	47932
275	18256	47889
276	18320	47818
277	18395	47774
278	18457	47698
279	18529	47646
280	18595	47579
281	18664	47521
282	18732	47460
283	18799	47395
284	18864	47326
285	18933	47267
286	18988	47172
287	19040	47073
288	19110	47016
289	19180	46957
290	19242	46883
291	19319	46842
292	19393	46795
293	19467	46748
294	19532	46680
295	19603	46624
296	19653	46521
297	19714	46440
298	19772	46356
299	19834	46281
300	19900	46214
301	19984	46188
302	20050	46122
303	20123	46072
304	20197	46023
305	20263	45956
306	20324	45878
307	20384	45798
308	20433	45694
309	20500	45630
310	20571	45574
311	20637	45507
312	20701	45436
313	20758	45351
314	20821	45278
315	20886	45210
316	20952	45144
317	21017	45075
318	21096	45036
319	21166	44979
320	21230	44908
321	21301	44852
322	21363	44776
323	21432	44717
324	21506	44667
325	21571	44597
326	21624	44505
327	21683	44423
328	21742	44344
329	21799	44259
330	21855	44173
331	21913	44090
332	21972	44011
333	22035	43938
334	22097	43864
335	22156	43785
336	22208	43692
337	22275	43628
338	22346	43573
339	22410	43502
340	22473	43431
341	22545	43377
342	22606	43302
343	22671	43233
344	22729	43153
345	22786	43071
346	22851	43003
347	22911	42927
348	22971	42848
349	23035	42780
350	23101	42714
351	23164	42644
352	23236	42590
353	23311	42540
354	23368	42457
355	23432	42388
356	23497	42321
357	23566	42262
358	23646	42220
359	23718	42166
360	23792	42115
361	23861	42053
362	23940	42010
363	24006	41945
364	24074	41882
365	24149	41832
366	24217	41769
367	24288	41712
368	24346	41632
369	24406	41557
370	24470	41487
371	24531	41414
372	24599	41351
373	24671	41295
374	24733	41223
375	24804	41164
376	24868	41096
377	24935	41031
378	25004	40970
379	25072	40908
380	25134	40835
381	25198	40766
382	25261	40695
383	25323	40622
384	25391	40560
385	25457	40494
386	25528	40436
387	25595	40371
388	25665	40312
389	25724	40235
390	25786	40163
391	25847	40089
392	25897	39999
393	25960	39928
394	26027	39864
395	26098	39807
396	26165	39743
397	26218	39657
398	26277	39581
399	26331	39497
400	26391	39422
401	26482	39393
402	26565	39353
403	26655	39322
404	26725	39263
405	26811	39226
406	26873	39154
407	26937	39085
408	27019	39042
409	27100	38998
410	27174	38943
411	27233	38866
412	27294	38793
413	27373	38746
414	27447	38690
415	27519	38633
416	27597	38583
417	27652	38502
418	27720	38437
419	27787	38373
420	27849	38301
421	27917	38237
422	27988	38178
423	28054	38111
424	28121	38046
425	28186	37979
426	28251	37911
427	28321	37849
428	28395	37793
429	28468	37737
430	28536	37673
431	28605	37610
432	28671	37543
433	28730	37468
434	28805	37414
435	28867	37342
436	28930	37272
437	28996	37205
438	29063	37140
439	29135	37081
440	29194	37006
441	29254	36932
442	29318	36863
443	29395	36810
444	29473	36759
445	29535	36687
446	29596	36614
447	29661	36547
448	29726	36479
449	29795	36416
450	29861	36350
451	29926	36283
452	29985	36207
453	30043	36132
454	30106	36061
455	30160	35981
456	30215	35901
457	30283	35838
458	30347	35769
459	30398	35685
460	30459	35613
461	30523	35544
462	30587	35476
463	30654	35411
464	30717	35341
465	30782	35274
466	30850	35210
467	30912	35139
468	30983	35079
469	31047	35010
470	31114	34945
471	31184	34884
472	31243	34810
473	31315	34750
474	31370	34673
475	31431	34601
476	31502	34540
477	31565	34471
478	31629	34403
479	31685	34326
480	31751	34259
481	31810	34186
482	31878	34122
483	31940	34051
484	32005	33985
485	32071	33919
486	32136	33852
487	32201	33785
488	32271	33723
489	32338	33658
490	32404	33592
491	32466	33522
492	32541	33465
493	32597	33389
494	32655	33315
495	32723	33251
496	32796	33192
497	32859	33123
498	32918	33050
499	32976	32976
500	33045	32913
501	33137	32873
502	33227	32831
503	33301	32772
504	33368	32707
505	33436	32643
506	33537	32611
507	33621	32562
508	33708	32516
509	33796	32471
510	33867	32409
511	33932	32342
512	34012	32288
513	34083	32227
514	34148	32159
515	34227	32104
516	34299	32043
517	34362	31974
518	34433	31911
519	34484	31831
520	34558	31772
521	34628	31709
522	34698	31646
523	34760	31575
524	34829	31512
525	34906	31455
526	34980	31395
527	35045	31328
528	35105	31256
529	35165	31184
530	35225	31112
531	35312	31064
532	35392	31009
533	35453	30939
534	35521	30873
535	35593	30811
536	35660	30746
537	35741	30692
538	35817	30634
539	35880	30564
540	35941	30494
541	36003	30423
542	36065	30353
543	36137	30291
544	36225	30243
545	36310	30192
546	36374	30123
547	36431	30049
548	36490	29976
549	36566	29918
550	36631	29850
551	36698	29783
552	36788	29736
553	36857	29672
554	36915	29598
555	36978	29529
556	37039	29458
557	37101	29388
558	37163	29318
559	37232	29253
560	37314	29199
561	37394	29143
562	37459	29076
563	37520	29005
564	37575	28929
565	37637	28859
566	37702	28792
567	37778	28732
568	37831	28656
569	37922	28608
570	37990	28542
571	38050	28471
572	38112	28401
573	38183	28338
574	38251	28272
575	38318	28206
576	38380	28136
577	38452	28074
578	38515	28005
579	38582	27939
580	38642	27867
581	38705	27798
582	38771	27731
583	38833	27662
584	38902	27597
585	38963	27526
586	39031	27461
587	39095	27393
588	39164	27328
589	39224	27257
590	39288	27189
591	39353	27121
592	39419	27055
593	39480	26985
594	39543	26916
595	39602	26844
596	39654	26768
597	39725	26705
598	39791	26638
599	39862	26574
600	39928	26508
601	40000	26445
602	40070	26381
603	40132	26312
604	40198	26245
605	40258	26174
606	40335	26115
607	40403	26049
608	40479	25989
609	40571	25939
610	40636	25871
611	40704	25805
612	40764	25735
613	40835	25671
614	40897	25602
615	40965	25536
616	41044	25478
617	41117	25415
618	41192	25354
619	41255	25285
620	41326	25221
621	41382	25148
622	41444	25079
623	41511	25013
624	41590	24954
625	41672	24897
626	41750	24837
627	41823	24774
628	41887	24706
629	41962	24644
630	42037	24582
631	42112	24521
632	42187	24459
633	42256	24394
634	42339	24337
635	42412	24273
636	42488	24212
637	42557	24147
638	42622	24079
639	42689	24012
640	42755	23945
641	42823	23879
642	42904	23821
643	42964	23750
644	43036	23686
645	43104	23620
646	43189	23563
647	43257	23497
648	43323	23430
649	43393	23365
650	43464	23301
651	43529	23233
652	43595	23166
653	43662	23099
654	43728	23032
655	43786	22961
656	43857	22896
657	43930	22833
658	44005	22770
659	44073	22704
660	44144	22639
661	44218	22576
662	44287	22511
663	44364	22449
664	44436	22385
665	44529	22331
666	44596	22264
667	44666	22199
668	44750	22141
669	44812	22071
670	44877	22004
671	44942	21936
672	45014	21871
673	45083	21806
674	45151	21739
675	45225	21675
676	45309	21617
677	45370	21547
678	45438	21481
679	45503	21413
680	45578	21350
681	45640	21281
682	45709	21214
683	45774	21147
684	45838	21079
685	45909	21013
686	45985	20950
687	46054	20885
688	46126	20820
689	46192	20753
690	46259	20686
691	46330	20621
692	46409	20559
693	46476	20492
694	46543	20425
695	46601	20354
696	46673	20289
697	46745	20225
698	46802	20153
699	46864	20084
700	46931	20017
701	47009	19955
702	47085	19892
703	47169	19832
704	47230	19763
705	47291	19693
706	47364	19629
707	47434	19563
708	47514	19501
709	47587	19437
710	47654	19370
711	47718	19301
712	47806	19243
713	47879	19178
714	47960	19117
715	48043	19056
716	48119	18992
717	48204	18932
718	48263	18862
719	48331	18795
720	48415	18735
721	48496	18673
722	48562	18605
723	48632	18539
724	48713	18477
725	48787	18412
726	48872	18352
727	48943	18286
728	49024	18224
729	49094	18158
730	49149	18086
731	49221	18020
732	49303	17959
733	49363	17889
734	49426	17820
735	49498	17754
736	49559	17685
737	49625	17617
738	49691	17550
739	49748	17479
740	49821	17414
741	49898	17350
742	49967	17283
743	50029	17214
744	50094	17146
745	50154	17076
746	50223	17010
747	50286	16941
748	50348	16872
749	50424	16808
750	50488	16739
751	50561	16674
752	50630	16607
753	50699	16541
754	50762	16472
755	50825	16404
756	50890	16336
757	50962	16270
758	51031	16203
759	51095	16135
760	51158	16066
761	51218	15997
762	51284	15929
763	51349	15861
764	51410	15792
765	51479	15726
766	51536	15655
767	51602	15588
768	51664	15519
769	51725	15450
770	51787	15381
771	51852	15313
772	51916	15245
773	51990	15180
774	52040	15108
775	52110	15042
776	52192	14979
777	52252	14910
778	52311	14840
779	52369	14770
780	52441	14705
781	52495	14634
782	52573	14570
783	52630	14500
784	52694	14432
785	52760	14364
786	52817	14294
787	52878	14226
788	52930	14155
789	52995	14087
790	53051	14017
791	53116	13949
792	53180	13881
793	53240	13813
794	53291	13741
795	53351	13673
796	53414	13605
797	53483	13538
798	53551	13471
799	53618	13404
800	53687	13338
801	53783	13278
802	53850	13211
803	53910	13142
804	53978	13075
805	54043	13008
806	54120	12943
807	54173	12872
808	54258	12810
809	54336	12745
810	54406	12679
811	54482	12614
812	54555	12548
813	54631	12483
814	54701	12416
815	54778	12351
816	54853	12286
817	54917	12218
818	54983	12151
819	55056	12085
820	55110	12015
821	55174	11947
822	55232	11878
823	55298	11811
824	55353	11741
825	55418	11674
826	55494	11608
827	55554	11540
828	55617	11472
829	55682	11404
830	55738	11335
831	55805	11268
832	55871	11201
833	55933	11133
834	55993	11064
835	56067	10998
836	56125	10930
837	56202	10865
838	56288	10801
839	56345	10732
840	56398	10662
841	56465	10595
842	56538	10529
843	56608	10463
844	56678	10396
845	56754	10331
846	56833	10266
847	56898	10198
848	56964	10131
849	57036	10065
850	57100	9997
851	57181	9933
852	57240	9864
853	57312	9798
854	57374	9730
855	57437	9662
856	57496	9593
857	57560	9526
858	57622	9458
859	57693	9391
860	57752	9323
861	57819	9256
862	57888	9189
863	57953	9122
864	58013	9054
865	58072	8985
866	58135	8918
867	58201	8850
868	58263	8783
869	58331	8716
870	58397	8649
871	58462	8581
872	58533	8515
873	58583	8445
874	58653	8379
875	58722	8312
876	58789	8245
877	58852	8177
878	58922	8111
879	58979	8042
880	59039	7974
881	59106	7907
882	59169	7840
883	59215	7770
884	59273	7702
885	59347	7636
886	59413	7569
887	59474	7501
888	59533	7433
889	59597	7366
890	59663	7298
891	59717	7230
892	59772	7162
893	59836	7094
894	59898	7027
895	59963	6960
896	60037	6893
897	60101	6826
898	60162	6759
899	60229	6692
900	60301	6625
901	60391	6561
902	60461	6494
903	60526	6427
904	60592	6360
905	60650	6292
906	60716	6225
907	60771	6157
908	60839	6090
909	60941	6027
910	61009	5960
911	61071	5892
912	61141	5826
913	61191	5757
914	61266	5691
915	61334	5624
916	61401	5557
917	61474	5491
918	61544	5424
919	61614	5357
920	61685	5291
921	61744	5223
922	61804	5155
923	61865	5088
924	61935	5021
925	61999	4954
926	62076	4888
927	62153	4822
928	62225	4755
929	62291	4688
930	62365	4622
931	62435	4555
932	62513	4489
933	62578	4422
934	62635	4354
935	62708	4287
936	62778	4220
937	62842	4153
938	62900	4086
939	62964	4018
940	63032	3952
941	63097	3885
942	63167	3818
943	63220	3750
944	63277	3682
945	63335	3615
946	63394	3547
947	63457	3480
948	63517	3413
949	63582	3346
950	63641	3279
951	63707	3212
952	63772	3145
953	63839	3078
954	63897	3010
955	63964	2943
956	64017	2876
957	64081	2809
958	64144	2742
959	64216	2675
960	64278	2608
961	64351	2541
962	64410	2474
963	64460	2407
964	64526	2340
965	64591	2273
966	64660	2206
967	64729	2139
968	64801	2073
969	64926	2008
970	64999	1941
971	65068	1874
972	65121	1807
973	65203	1740
974	65269	1673
975	65326	1606
976	65399	1539
977	65464	1472
978	65555	1406
979	65626	1339
980	65689	1272
981	65745	1205
982	65798	1137
983	65850	1070
984	65907	1003
985	65947	936
986	65992	869
987	66044	802
988	66091	735
989	66144	668
990	66200	601
991	66267	534
992	66321	467
993	66383	400
994	66449	333
995	66514	267
996	66579	200
997	66651	133
998	66717	66
999	66787	0
